bodyTechnician,partNumber,description,orderedQty,orderedDate,unitType,receivedQty,receivedDate
Chris,BT-001,Window Regulator,5,2023-12-26T00:00:00Z,kg,4,2023-12-31T00:00:00Z
Chris,BT-002,Alternator,5,2023-12-28T00:00:00Z,pack,3,2024-01-04T00:00:00Z
Chris,BT-003,Tailgate,3,2024-01-03T00:00:00Z,pack,0,
Dan,BT-004,Alternator,1,2023-12-17T00:00:00Z,meter,2,2023-12-22T00:00:00Z
Dan,BT-005,Rear Bumper,5,2023-12-14T00:00:00Z,kg,3,2023-12-18T00:00:00Z
Dan,BT-006,Antenna,4,2023-12-24T00:00:00Z,meter,1,2023-12-28T00:00:00Z
Kevin,BT-007,Headliner,5,2023-12-18T00:00:00Z,meter,2,2023-12-25T00:00:00Z
Kevin,BT-008,Tailgate,2,2024-01-01T00:00:00Z,meter,0,
Tom,BT-009,Weatherstripping,4,2023-12-19T00:00:00Z,kg,0,
Tom,BT-010,Grille,2,2023-12-26T00:00:00Z,kg,0,
Kevin,BT-011,Door Handle,2,2023-12-25T00:00:00Z,piece,0,
Kevin,BT-012,Tailgate,4,2023-12-21T00:00:00Z,piece,4,2023-12-25T00:00:00Z
Steve,BT-013,Window Regulator,4,2023-12-23T00:00:00Z,piece,0,
Steve,BT-014,Wheel Rim,5,2023-12-27T00:00:00Z,meter,2,2023-12-31T00:00:00Z
Steve,BT-015,Hood Latch,5,2023-12-12T00:00:00Z,liter,0,
Chris,BT-016,Front Bumper,4,2023-12-12T00:00:00Z,kg,3,2023-12-19T00:00:00Z
Chris,BT-017,Headliner,3,2023-12-22T00:00:00Z,pack,0,
Dan,BT-018,Headliner,4,2023-12-21T00:00:00Z,kg,1,2023-12-29T00:00:00Z
Dan,BT-019,Hood Latch,4,2024-01-05T00:00:00Z,liter,1,2024-01-12T00:00:00Z
Dan,BT-020,Window Motor,3,2024-01-02T00:00:00Z,meter,0,
Dan,BT-021,Windshield Trim,5,2024-01-05T00:00:00Z,kg,0,
Dan,BT-022,Wheel Rim,1,2023-12-20T00:00:00Z,meter,1,2023-12-22T00:00:00Z
Steve,BT-023,Quarter Panel,5,2023-12-25T00:00:00Z,pack,2,2023-12-30T00:00:00Z
Steve,BT-024,Headlight Assembly,1,2023-12-20T00:00:00Z,piece,0,
Rob,BT-025,Door Handle,4,2023-12-13T00:00:00Z,meter,1,2023-12-18T00:00:00Z
Rob,BT-026,Alternator,3,2024-01-02T00:00:00Z,pack,4,2024-01-04T00:00:00Z
Chris,BT-027,Weatherstripping,5,2023-12-27T00:00:00Z,pack,0,
Chris,BT-028,Radiator,3,2023-12-29T00:00:00Z,liter,0,
Chris,BT-029,Alternator,5,2023-12-28T00:00:00Z,meter,3,2024-01-04T00:00:00Z
Steve,BT-030,Dashboard Pad,3,2023-12-12T00:00:00Z,kg,3,2023-12-16T00:00:00Z
Steve,BT-031,Left Door Panel,5,2024-01-04T00:00:00Z,liter,0,
Kevin,BT-032,Window Regulator,2,2023-12-15T00:00:00Z,meter,0,
Kevin,BT-033,Door Lock,5,2023-12-19T00:00:00Z,pack,1,2023-12-22T00:00:00Z
Kevin,BT-034,Brake Caliper,3,2023-12-23T00:00:00Z,liter,4,2023-12-28T00:00:00Z
Dan,BT-035,Fuel Pump,3,2023-12-19T00:00:00Z,piece,1,2023-12-24T00:00:00Z
Dan,BT-036,Quarter Panel,4,2023-12-25T00:00:00Z,piece,2,2023-12-30T00:00:00Z
Dan,BT-037,Seat Frame,4,2023-12-23T00:00:00Z,pack,4,2023-12-26T00:00:00Z
Dan,BT-038,Wheel Rim,2,2023-12-18T00:00:00Z,pack,2,2023-12-26T00:00:00Z
Dan,BT-039,Brake Caliper,4,2024-01-06T00:00:00Z,piece,3,2024-01-09T00:00:00Z
Steve,BT-040,Hood Latch,5,2023-12-14T00:00:00Z,kg,1,2023-12-21T00:00:00Z
Steve,BT-041,Alternator,2,2023-12-27T00:00:00Z,piece,0,
Steve,BT-042,Radiator,3,2023-12-27T00:00:00Z,liter,3,2023-12-30T00:00:00Z
Steve,BT-043,Wheel Rim,3,2024-01-02T00:00:00Z,piece,2,2024-01-04T00:00:00Z
Joe,BT-044,Radiator,2,2023-12-30T00:00:00Z,meter,1,2024-01-01T00:00:00Z
Joe,BT-045,Seat Frame,1,2023-12-24T00:00:00Z,liter,0,
Chris,BT-046,Windshield Trim,5,2023-12-31T00:00:00Z,liter,0,
Chris,BT-047,Side Mirror,5,2023-12-16T00:00:00Z,piece,3,2023-12-22T00:00:00Z
Chris,BT-048,Left Door Panel,4,2023-12-27T00:00:00Z,liter,3,2024-01-03T00:00:00Z
Kevin,BT-049,Dashboard Pad,3,2024-01-03T00:00:00Z,liter,3,2024-01-08T00:00:00Z
Kevin,BT-050,Tailgate,4,2024-01-01T00:00:00Z,meter,0,
Steve,BT-051,Hood Latch,2,2024-01-02T00:00:00Z,piece,4,2024-01-05T00:00:00Z
