RO Number,Line,Part Number,Part Description,Part Type,Vendor Name,RO Qty,Ordered Qty,Ordered Date,Expected Delivery,Received Qty,Invoice Date,Returned Qty,,
1001,1,EL-9908,Interior #5223,Electrical,Pro Express Components,2,2,2023-12-10,2023-12-13,2,2023-12-11,1,,
1001,2,EN-4365,Suspension #7698,Suspension,Midwest Plus Auto Parts,5,5,2023-12-02,2023-12-07,5,2023-12-03,1,,
1001,3,EL-6990,Trim #5514,Interior,Elite Online Supplies,3,3,2023-12-11,2023-12-15,3,2023-12-14,1,,
1001,4,TR-8925,Engine #6024,Trim,Advanced Max Supplies,4,4,2023-12-28,2024-01-02,4,2023-12-30,1,,
1001,5,WG-3650,Hardware #4513,Glass,Superior Express Services,1,1,2023-12-27,2024-01-02,0,,0,,
1001,6,EN-1086,Hardware #3381,Exterior,Advanced Motors,1,1,2023-12-23,2023-12-30,1,2023-12-25,1,,
1001,7,SU-7296,Interior #9536,Engine,National Direct Hub,3,3,2023-12-07,2023-12-08,3,2023-12-08,0,,
1001,8,CP-1550,Trim #9364,Glass,Pro Direct Group,1,1,2023-12-13,2023-12-19,1,2023-12-15,1,,
1001,9,BD-2422,Engine #7544,Suspension,Advanced Max Motors,3,3,2024-01-10,2024-01-12,3,2024-01-12,0,,
1001,10,TR-5661,Glass #6703,Suspension,National Pro Motors,1,1,2023-12-27,2024-01-01,1,2023-12-28,0,,
1001,11,FM-3867,Interior #9294,Hardware,Midwest Motors,4,4,2023-12-16,2023-12-21,4,2023-12-20,0,,
1001,12,TR-5098,Exterior #7178,Trim,Superior Express Distributors #247,1,1,2023-12-06,2023-12-11,1,2023-12-11,1,,
1001,13,WG-2904,Engine #2106,Interior,Advanced Center,4,4,2023-12-17,2023-12-24,4,2023-12-21,0,,
1002,1,SU-5314,Electrical #5706,Hardware,ACE Max Solutions,3,3,2023-12-16,2023-12-23,3,2023-12-21,0,,
1002,2,DM-4580,Trim #5408,Assembly,Advanced Pro Distributors,2,2,2023-12-23,2023-12-24,2,2023-12-27,1,,
1002,3,CP-4322,Electrical #6833,Assembly,Midwest Plus Auto Parts,2,2,2024-01-02,2024-01-08,2,2024-01-05,0,,
1002,4,IN-9871,Panel #8901,Suspension,Premier Max Solutions,4,4,2023-12-09,2023-12-10,4,2023-12-14,0,,
1002,5,HD-4638,Trim #3101,Panel,National Plus Solutions #269,4,4,2024-01-02,2024-01-07,4,2024-01-04,1,,
1002,6,HD-3863,Exterior #2972,Glass,Superior Express Supplies #235,1,1,2023-12-29,2024-01-02,1,2024-01-03,1,,
1002,7,EN-4452,Interior #2650,Suspension,Advanced Direct Components,5,0,,,0,,0,,
1002,8,EL-6621,Suspension #4013,Exterior,Midwest Supplies #217,2,2,2023-12-18,2023-12-20,2,2023-12-21,1,,
1002,9,FM-8384,Assembly #3148,Trim,Premier Direct Services,3,3,2023-12-15,2023-12-19,3,2023-12-18,1,,
1002,10,EX-7240,Electrical #3389,Assembly,National Pro Auto Parts,2,2,2023-12-08,2023-12-14,2,2023-12-13,1,,
1002,11,IN-8972,Engine #5111,Glass,National Online Supplies,2,2,2023-12-02,2023-12-04,2,2023-12-07,1,,
1002,12,CP-5166,Exterior #2577,Exterior,Pro Distributors #171,2,2,2023-12-05,2023-12-09,0,,0,,
1002,13,FD-7746,Hardware #6752,Trim,Superior Max Components,5,5,2023-12-18,2023-12-21,5,2023-12-21,1,,
1003,1,DM-6326,Glass #8987,Exterior,Apex Express Center,5,5,2024-01-07,2024-01-12,5,2024-01-09,1,,
1003,2,HD-7631,Hardware #2296,Assembly,Midwest Express Hub,2,2,2023-12-26,2023-12-31,2,2023-12-28,1,,
1003,3,FM-8289,Suspension #9535,Exterior,Pro Plus Center,3,3,2023-12-16,2023-12-19,3,2023-12-19,1,,
1003,4,SU-2311,Electrical #3734,Interior,ACE Pro Group,2,2,2023-12-12,2023-12-14,2,2023-12-14,1,,
1003,5,FD-7504,Glass #2363,Hardware,Advanced Pro Auto Parts,4,4,2023-12-08,2023-12-09,4,2023-12-13,0,,
1003,6,SU-5655,Exterior #3071,Assembly,National Plus Solutions #269,4,4,2024-01-10,2024-01-12,2,2024-01-12,0,,
1003,7,DM-6328,Exterior #8654,Glass,Elite Express Distributors #139,5,0,,,0,,0,,
